,24.01-27,24.01-27,24.01-27,27.01-30,27.01-30,27.01-30,30.01-32,30.01-32,30.01-32,32.01-35,32.01-35,32.01-35
"  1,750 ","  7,830 ","  14,850 ","  18,450 ","  8,700 ","  16,500 ","  20,500 ","  9,570 ","  18,150 ","  22,550 ","  10,527 ","  19,965 ","  24,805 "
"  1,800 ","  8,010 ","  15,120 ","  18,900 ","  8,900 ","  16,800 ","  21,000 ","  9,790 ","  18,480 ","  23,100 ","  10,769 ","  20,328 ","  25,410 "
"  1,850 ","  8,190 ","  15,390 ","  19,350 ","  9,100 ","  17,100 ","  21,500 ","  10,010 ","  18,810 ","  23,650 ","  11,011 ","  20,691 ","  26,015 "
"  1,900 ","  8,460 ","  15,750 ","  19,800 ","  9,400 ","  17,500 ","  22,000 ","  10,340 ","  19,250 ","  24,200 ","  11,374 ","  21,175 ","  26,620 "
"  1,950 ","  8,730 ","  15,930 ","  20,250 ","  9,700 ","  17,700 ","  22,500 ","  10,670 ","  19,470 ","  24,750 ","  11,737 ","  21,417 ","  27,225 "
"  2,000 ","  9,000 ","  16,200 ","  20,700 ","  10,000 ","  18,000 ","  23,000 ","  11,000 ","  19,800 ","  25,300 ","  12,100 ","  21,780 ","  27,830 "
2050,9270,,,10300,,,11330,"  20,130 ",,,,
2100,9540,,,10600,,,11660,"  20,460 ",,,,
2150,9810,,,10900,,,11990,"  20,790 ",,,,
2200,10080,,,11200,,,12320,"  21,120 ",,,,
2250,10350,,,11500,,,12650,"  21,450 ",,,,
2300,10620,,,11800,,,12980,"  21,780 ",,,,
2350,10890,,,12100,,,13310,"  22,110 ",,,,
2400,11160,,,12400,,,13640,"  22,440 ",,,,
2450,11430,,,12700,,,13970,"  22,770 ",,,,
2500,11700,,,13000,,,14300,"  23,100 ",,,,
2550,11970,,,13300,,,14630,"  23,430 ",,,,
2600,12240,,,13600,,,14960,"  23,760 ",,,,
